Time [s],X-displacement [mm]
0,0
0.025,1.75858
0.05,3.51717
0.075,5.27575
0.1,7.03433
0.125,8.79292
0.15,10.5515
0.175,12.3101
0.2,14.0687
0.225,15.8273
0.25,17.5858
0.275,19.3444
0.3,21.103
0.325,22.8616
0.35,24.6202
0.375,26.3788
0.4,28.1373
0.425,29.8959
0.45,31.6545
0.475,33.4131
0.5,35.1717
0.525,36.9303
0.55,38.6888
0.575,40.4474
0.6,42.206
0.625,43.9646
0.65,45.7232
0.675,47.4818
0.7,49.2403
0.725,50.9989
0.75,52.7575
0.775,54.5161
0.8,56.2747
0.825,58.0333
0.85,59.7918
0.875,61.5504
0.9,63.309
0.925,65.0676
0.95,66.8262
0.975,68.5848
1,60.6516
1.025,56.4862
1.05,49.2317
1.075,44.2888
1.1,37.6052
1.125,32.6229
1.15,26.5684
1.175,21.7924
1.2,16.3313
1.225,11.9289
1.25,7.00336
1.275,2.98047
1.3,-1.38489
1.325,-5.03264
1.35,-8.92158
1.375,-12.1541
1.4,-15.5626
1.425,-18.4495
1.45,-21.4398
1.475,-23.9507
1.5,-26.5293
1.525,-28.7202
1.55,-30.9316
1.575,-32.8176
1.6,-34.7054
1.625,-36.3108
1.65,-37.9368
1.675,-39.3237
1.7,-40.6995
1.725,-41.8727
1.75,-43.0522
1.775,-44.0535
1.8,-45.0427
1.825,-45.8216
1.85,-46.5598
1.875,-47.1755
1.9,-47.6597
1.925,-48.1319
1.95,-48.5589
1.975,-48.6884
2,-49.2806
2.025,-44.8251
2.05,-40.9043
2.075,-32.6727
2.1,-25.0115
2.125,-14.3161
2.15,-4.50006
2.175,6.6845
2.2,16.6699
2.225,26.5275
2.25,35.0387
2.275,42.6003
2.3,48.64
2.325,53.4443
2.35,56.7957
2.375,59.344
2.4,61.2859
2.425,62.8183
2.45,64.041
2.475,65.0333
2.5,65.8564
2.525,66.5414
2.55,67.1135
2.575,67.5952
2.6,68.0023
2.625,68.3474
2.65,68.6404
2.675,68.8891
2.7,69.1002
2.725,69.2803
2.75,69.434
2.775,69.5652
2.8,69.6776
2.825,69.7734
2.85,69.8554
2.875,69.9254
2.9,69.9854
2.925,70.0368
2.95,70.0807
2.975,70.1184
3,70.1506
